"Concatenated","Class_Desc","Primary_Code","Secondary_Code","Tertiary_Code","Quaternary_Code","Primary_Desc","Secondary_Desc","Tertiary_Desc","Quaternary_Desc"
"CL06TB","Tenpin Bowling Facility","C","L","06","TB","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Tenpin Bowling Facility"
"CL06TN","Public Tennis Court","C","L","06","TN","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Public Tennis Court"
"CL06WA","Water Sports Facility","C","L","06","WA","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Water Sports Facility"
"CL06WP","Winter Sports Facility","C","L","06","WP","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Winter Sports Facility"
"CL06WY","Wildlife Sports Facility","C","L","06","WY","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Wildlife Sports Facility"
"CL07","Bingo Hall / Cinema / Conference / Exhibition Centre / Theatre / Concert Hall","C","L","07","","Commercial","Leisure - Applicable to recreational sites and enterprises","Bingo Hall / Cinema / Conference / Exhibition Centre / Theatre / Concert Hall",""
"CL07TH","Theatre","C","L","07","TH","Commercial","Leisure - Applicable to recreational sites and enterprises","Bingo Hall / Cinema / Conference / Exhibition Centre / Theatre / Concert Hall","Theatre"
"CL07CI","Cinema","C","L","07","CI","Commercial","Leisure - Applicable to recreational sites and enterprises","Bingo Hall / Cinema / Conference / Exhibition Centre / Theatre / Concert Hall","Cinema"
"CL07EN","Entertainment Complex","C","L","07","EN","Commercial","Leisure - Applicable to recreational sites and enterprises","Bingo Hall / Cinema / Conference / Exhibition Centre / Theatre / Concert Hall","Entertainment Complex"
"CL07EX","Conference / Exhibition Centre","C","L","07","EX","Commercial","Leisure - Applicable to recreational sites and enterprises","Bingo Hall / Cinema / Conference / Exhibition Centre / Theatre / Concert Hall","Conference / Exhibition Centre"
"CL08","Zoo / Theme Park","C","L","08","","Commercial","Leisure - Applicable to recreational sites and enterprises","Zoo / Theme Park",""
"CL08AK","Amusement Park","C","L","08","AK","Commercial","Leisure - Applicable to recreational sites and enterprises","Zoo / Theme Park","Amusement Park"
"CL08MX","Model Village Site","C","L","08","MX","Commercial","Leisure - Applicable to recreational sites and enterprises","Zoo / Theme Park","Model Village Site"
"CL08WZ","Wildlife / Zoological Park","C","L","08","WZ","Commercial","Leisure - Applicable to recreational sites and enterprises","Zoo / Theme Park","Wildlife / Zoological Park"
"CL08AQ","Aquatic Attraction","C","L","08","AQ","Commercial","Leisure - Applicable to recreational sites and enterprises","Zoo / Theme Park","Aquatic Attraction"
"CL09","Beach Hut (Recreational, Non-Residential Use Only)","C","L","09","","Commercial","Leisure - Applicable to recreational sites and enterprises","Beach Hut (Recreational, Non-Residential Use Only)",""
"CL10","Licensed Private Members’ Club","C","L","10","","Commercial","Leisure - Applicable to recreational sites and enterprises","Licensed Private Members’ Club",""
"CL10RE","Recreational / Social Club","C","L","10","RE","Commercial","Leisure - Applicable to recreational sites and enterprises","Licensed Private Members’ Club","Recreational / Social Club"
"CL11","Arena / Stadium","C","L","11","","Commercial","Leisure - Applicable to recreational sites and enterprises","Arena / Stadium",""
"CL11SD","Stadium","C","L","11","SD","Commercial","Leisure - Applicable to recreational sites and enterprises","Arena / Stadium","Stadium"
"CL11SJ","Showground","C","L","11","SJ","Commercial","Leisure - Applicable to recreational sites and enterprises","Arena / Stadium","Showground"
"CM","Medical","C","M","","","Commercial","Medical","",""
"CM01","Dentist","C","M","01","","Commercial","Medical","Dentist",""
"CM02","General Practice Surgery / Clinic","C","M","02","","Commercial","Medical","General Practice Surgery / Clinic",""
"CM02HL","Health Care Services","C","M","02","HL","Commercial","Medical","General Practice Surgery / Clinic","Health Care Services"
"CM02HC","Health Centre","C","M","02","HC","Commercial","Medical","General Practice Surgery / Clinic","Health Centre"
"CM03","Hospital / Hospice","C","M","03","","Commercial","Medical","Hospital / Hospice",""
"CM03HI","Hospice","C","M","03","HI","Commercial","Medical","Hospital / Hospice","Hospice"
"CM03HP","Hospital","C","M","03","HP","Commercial","Medical","Hospital / Hospice","Hospital"
